gene ID,log2FC,p-value
CGI_10022693,1.971716361,2.62922E-11
CGI_10011184,1.469411165,2.73638E-11
CGI_10024068,1.452286136,2.85771E-11
CGI_10020106,-1.167913731,3.10555E-11
CGI_10022101,-1.315980808,3.10588E-11
CGI_10004160,1.455669882,3.33677E-11
CGI_10014040,0.695822519,3.61376E-11
CGI_10027660,0.751642551,3.66312E-11
CGI_10016276,0.773015578,3.69362E-11
CGI_10028387,1.226539984,3.84245E-11
CGI_10014308,2.271390534,4.72592E-11
CGI_10011157,0.930676641,5.02202E-11
CGI_10004165,1.54467778,5.50278E-11
CGI_10013277,1.307025191,5.64435E-11
CGI_10026764,1.095278812,6.42266E-11
CGI_10028122,0.962552926,6.45248E-11
CGI_10010566,1.132678831,6.56626E-11
CGI_10020907,0.791485658,7.03762E-11
CGI_10009256,0.755226447,7.05738E-11
CGI_10014831,0.699697965,7.33706E-11
CGI_10014180,0.705844895,7.66555E-11
CGI_10017308,0.669735472,8.65931E-11
CGI_10009454,0.947928843,8.6691E-11
CGI_10018610,1.522200388,8.74889E-11
CGI_10009722,0.643778732,9.72425E-11
CGI_10002386,-1.301646132,9.89858E-11
CGI_10022103,-0.935641196,1.00226E-10
CGI_10021627,1.172477233,1.03331E-10
CGI_10011357,0.879098409,1.10847E-10
CGI_10005977,1.156239223,1.36236E-10
CGI_10005004,1.104759354,1.38119E-10
CGI_10020572,-0.707591141,1.50998E-10
CGI_10004764,-1.073034409,1.61662E-10
CGI_10026763,2.016208238,1.62684E-10
CGI_10026488,-1.024130746,1.76615E-10
CGI_10027907,2.076821491,1.80433E-10
CGI_10022229,1.272483573,2.30327E-10
CGI_10003021,0.742251605,2.37458E-10
CGI_10013790,0.86748175,2.42371E-10
CGI_10028611,0.974439535,2.57508E-10
CGI_10024808,1.586398458,2.60656E-10
CGI_10014170,-1.062502957,2.61319E-10
CGI_10013710,1.959786524,2.90246E-10
CGI_10022260,-0.667445052,2.98376E-10
CGI_10022798,1.22395496,3.15475E-10
CGI_10027513,1.227457842,3.179E-10
CGI_10009150,1.318158418,3.54387E-10
CGI_10006808,-1.208189586,3.5512E-10
CGI_10016075,-0.80711414,3.68313E-10
CGI_10013037,0.631684351,3.72611E-10
CGI_10020854,-0.984622323,4.01285E-10
CGI_10014060,-0.853026575,4.62597E-10
CGI_10011293,-0.668694301,4.70748E-10
CGI_10015189,0.682795454,5.0408E-10
CGI_10004783,-1.87984952,5.73025E-10
CGI_10020475,0.614077933,5.86238E-10
CGI_10003813,1.056965203,6.40248E-10
CGI_10022487,-1.760221197,6.41336E-10
CGI_10007555,0.677842636,7.45256E-10
CGI_10002519,0.66576236,7.73187E-10
CGI_10021171,0.657163361,8.13495E-10
CGI_10017950,1.273200341,8.66279E-10
CGI_10017793,1.093328079,8.71416E-10
CGI_10005996,0.630366488,9.10403E-10
CGI_10005825,0.643787447,1.00716E-09
CGI_10016016,0.631048417,1.04341E-09
CGI_10003770,1.392140203,1.05651E-09
CGI_10016060,1.116594581,1.11089E-09
CGI_10015370,0.688244633,1.14846E-09
CGI_10000983,0.852184086,1.16368E-09
CGI_10026436,-0.812803768,1.1883E-09
CGI_10010191,0.887201089,1.27435E-09
CGI_10019192,-1.285699925,1.28787E-09
CGI_10026433,-0.686151314,1.30152E-09
CGI_10011015,1.067046918,1.31088E-09
CGI_10006925,0.732493225,1.32588E-09
CGI_10009269,1.126841842,1.32588E-09
CGI_10024564,-0.731386875,1.42572E-09
CGI_10013744,1.495262288,1.53954E-09
CGI_10012986,-1.216918317,1.6687E-09
CGI_10008280,-1.02432658,1.6735E-09
CGI_10007617,2.067534489,1.70963E-09
CGI_10026671,0.663878261,1.73029E-09
CGI_10013745,1.56260542,1.85231E-09
CGI_10017548,1.218278152,1.87068E-09
CGI_10007683,0.90693358,1.94847E-09
CGI_10016998,1.234744059,2.08707E-09
CGI_10009987,-0.966720223,2.12513E-09
CGI_10001448,-1.889239235,2.13795E-09
CGI_10023178,0.850938806,2.22414E-09
CGI_10002880,-1.22402542,2.46306E-09
CGI_10016349,1.242265747,2.48043E-09
CGI_10008842,1.931686747,2.48513E-09
CGI_10014352,1.377228207,2.71016E-09
CGI_10014320,0.591202215,2.73248E-09
CGI_10000853,0.760362319,2.83687E-09
CGI_10024460,-0.835278159,2.89397E-09
CGI_10006926,0.732591322,3.02811E-09
CGI_10012612,-0.902864218,3.0591E-09
CGI_10000837,1.967462362,3.28914E-09
CGI_10016350,1.105286024,3.4242E-09
CGI_10022307,-0.783595992,3.691E-09
CGI_10005590,0.712803083,3.73296E-09
CGI_10013316,-1.0537356,4.62527E-09
CGI_10018835,-1.037310543,4.88037E-09
CGI_10025038,1.26499863,5.01673E-09
CGI_10026860,0.879478861,5.22758E-09
CGI_10022374,1.295938463,5.31455E-09
CGI_10027281,0.720327653,5.52155E-09
CGI_10011371,0.870002323,5.53569E-09
CGI_10005365,1.568794896,5.5837E-09
CGI_10024037,0.76486737,5.61569E-09
CGI_10011718,-1.426121731,5.86866E-09
CGI_10022078,0.814372086,6.44684E-09
CGI_10009762,0.602686216,6.81868E-09
CGI_10017582,0.721784177,6.84191E-09
CGI_10005017,0.79582642,7.05481E-09
CGI_10013640,1.023463309,7.15025E-09
CGI_10026720,0.523221581,7.39528E-09
CGI_10016651,0.750344476,8.50262E-09
CGI_10027618,0.785876819,8.81518E-09
CGI_10024978,-0.581283835,8.90156E-09
CGI_10020159,1.033991761,9.47805E-09
CGI_10024464,-0.520590803,9.56587E-09
CGI_10000599,1.740641283,9.85909E-09
CGI_10020701,-1.433885198,1.03403E-08
CGI_10006156,1.073646267,1.07951E-08
CGI_10023930,0.760597591,1.09816E-08
CGI_10023945,1.90749626,1.11113E-08
CGI_10021465,0.859366853,1.13119E-08
CGI_10020677,0.544511028,1.13402E-08
CGI_10020470,1.003899622,1.16092E-08
CGI_10017460,0.751252229,1.16155E-08
CGI_10027498,1.927446653,1.16995E-08
CGI_10019253,-0.597932174,1.1954E-08
CGI_10027484,0.59912529,1.20986E-08
CGI_10005155,1.123069512,1.21011E-08
CGI_10027077,0.879126625,1.2162E-08
CGI_10017375,1.052740217,1.21864E-08
